customer_id,age,gender,education_level,marital_status,employment_status,annual_income_INR,credit_score,loan_amount_INR,loan_term_months,interest_rate_percent,existing_loans_count,num_dependents,loan_purpose,state,debt_to_income_ratio,is_default
1,59,Male,Bachelor,Divorced,Part-time,1061127.37,344,31702.47,12,8.03,1,0,Home Improvement,Gujarat,0.03,0
2,49,Male,Bachelor,Married,Full-time,396883.72,711,182226.44,48,17.27,1,2,Home Improvement,Maharashtra,0.46,1
3,35,Female,Master,Single,Full-time,764514.58,486,229651.81,60,23.42,0,3,Debt Consolidation,West Bengal,0.3,0
4,63,Male,Bachelor,Married,Full-time,337691.21,469,238946.89,12,15.55,1,2,Debt Consolidation,Bihar,0.71,0
5,28,Female,Bachelor,Married,Full-time,631469.31,893,53289.35,48,7.88,1,0,Car,Gujarat,0.08,0
6,41,Male,PhD,Divorced,Part-time,795301.32,700,270321.84,60,10.76,2,2,Business,West Bengal,0.34,0
7,59,Female,Master,Divorced,Full-time,185572.98,545,352887.67,12,11.16,3,3,Business,Bihar,1.9,0
8,39,Male,Bachelor,Married,Part-time,559013.51,851,345680.66,60,12.74,2,3,Car,Karnataka,0.62,0
9,43,Female,Master,Married,Part-time,487358.05,342,372184.33,12,7.74,0,0,Home Improvement,West Bengal,0.76,0
10,31,Female,Bachelor,Married,Part-time,459608.54,478,128702.64,24,22.38,0,3,Home Improvement,Karnataka,0.28,1
11,31,Male,High School,Married,Full-time,677042.53,756,337906.23,24,15.76,3,4,Business,Gujarat,0.5,0
12,44,Female,Bachelor,Single,Part-time,824137.14,834,156617.94,48,18.41,1,3,Debt Consolidation,Rajasthan,0.19,0
13,56,Female,PhD,Single,Unemployed,573344.26,543,328924,12,8.14,0,0,Car,Karnataka,0.57,0
14,60,Female,PhD,Married,Full-time,641097.29,316,176264.86,24,7.92,3,0,Debt Consolidation,Maharashtra,0.27,1
15,44,Female,Bachelor,Single,Part-time,622861.75,411,285202.31,48,16.97,2,2,Home Improvement,Karnataka,0.46,0
16,23,Female,Bachelor,Single,Part-time,600360.7,897,403518.7,36,22.08,2,3,Business,Rajasthan,0.67,0
17,42,Female,High School,Married,Part-time,382131.47,846,343293.63,24,15.98,2,3,Debt Consolidation,Tamil Nadu,0.9,0
18,22,Female,PhD,Single,Full-time,821688.92,329,157772.36,24,21.92,1,0,Home Improvement,Uttar Pradesh,0.19,0
19,44,Female,PhD,Married,Full-time,659039.07,491,136111.59,60,20.79,1,2,Home Improvement,Bihar,0.21,0
20,64,Male,Bachelor,Married,Unemployed,678976.3,736,327634.04,36,8.29,3,2,Home Improvement,Delhi,0.48,0
21,50,Male,Master,Widowed,Self-employed,438698.07,478,381946.78,12,10.43,0,4,Debt Consolidation,Uttar Pradesh,0.87,0
22,58,Female,Master,Married,Full-time,508155.92,773,292979.95,48,18.18,2,4,Education,Bihar,0.58,1
23,22,Female,Bachelor,Single,Full-time,564773.16,433,198882.7,36,14.54,1,0,Business,Bihar,0.35,0
